,countryiso3code,country.value
233,TLA,América Latina y el Caribe (BIRF y la AIF)
234,TLS,Timor-Leste
235,TMN,Oriente Medio y Norte de África (BIRF y la AIF)
236,TON,Tonga
237,TSA,Asia meridional (BIRF y la AIF)
238,TSS,África al sur del Sahara (BIRF y la AIF)
239,TTO,Trinidad y Tobago
240,TUN,Túnez
241,TUR,Turquía
242,TUV,Tuvalu
243,TZA,Tanzanía
244,UGA,Uganda
245,UKR,Ucrania
246,URY,Uruguay
247,USA,Estados Unidos
248,UZB,Uzbekistán
249,VCT,San Vicente y las Granadinas
250,VEN,Venezuela
251,VGB,Islas Vírgenes Británicas
252,VIR,Islas Vírgenes (EE.UU.)
253,VNM,Viet Nam
254,VUT,Vanuatu
255,WLD,Mundo
256,WSM,Samoa
257,XKX,Kosovo
258,YEM,"Yemen, Rep. del"
259,ZAF,Sudáfrica
260,ZMB,Zambia
261,ZWE,Zimbabwe
